Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Latitude,Longitude,Death
30-01-2020,Kerala,1,0,0,10.8505,76.2711,0
31-01-2020,Kerala,1,0,0,10.8505,76.2711,0
01-02-2020,Kerala,2,0,0,10.8505,76.2711,0
02-02-2020,Kerala,3,0,0,10.8505,76.2711,0
03-02-2020,Kerala,3,0,0,10.8505,76.2711,0
04-02-2020,Kerala,3,0,0,10.8505,76.2711,0
05-02-2020,Kerala,3,0,0,10.8505,76.2711,0
06-02-2020,Kerala,3,0,0,10.8505,76.2711,0
07-02-2020,Kerala,3,0,0,10.8505,76.2711,0
08-02-2020,Kerala,3,0,0,10.8505,76.2711,0
09-02-2020,Kerala,3,0,0,10.8505,76.2711,0
10-02-2020,Kerala,3,0,0,10.8505,76.2711,0
11-02-2020,Kerala,3,0,0,10.8505,76.2711,0
12-02-2020,Kerala,3,0,0,10.8505,76.2711,0
13-02-2020,Kerala,3,0,0,10.8505,76.2711,0
14-02-2020,Kerala,3,0,0,10.8505,76.2711,0
15-02-2020,Kerala,3,0,0,10.8505,76.2711,0
16-02-2020,Kerala,3,0,0,10.8505,76.2711,0
17-02-2020,Kerala,3,0,0,10.8505,76.2711,0
18-02-2020,Kerala,3,0,0,10.8505,76.2711,0
19-02-2020,Kerala,3,0,0,10.8505,76.2711,0
20-02-2020,Kerala,3,0,0,10.8505,76.2711,0
21-02-2020,Kerala,3,0,0,10.8505,76.2711,0
22-02-2020,Kerala,3,0,0,10.8505,76.2711,0
23-02-2020,Kerala,3,0,0,10.8505,76.2711,0
24-02-2020,Kerala,3,0,0,10.8505,76.2711,0
25-02-2020,Kerala,3,0,0,10.8505,76.2711,0
26-02-2020,Kerala,3,0,0,10.8505,76.2711,0
27-02-2020,Kerala,3,0,0,10.8505,76.2711,0
28-02-2020,Kerala,3,0,0,10.8505,76.2711,0
29-02-2020,Kerala,3,0,0,10.8505,76.2711,0
01-03-2020,Kerala,3,0,0,10.8505,76.2711,0
02-03-2020,Delhi,1,0,0,28.7041,77.1025,0
02-03-2020,Kerala,3,0,0,10.8505,76.2711,0
02-03-2020,Telengana,1,0,0,18.1124,79.0193,0
03-03-2020,Delhi,1,0,0,28.7041,77.1025,0
03-03-2020,Kerala,3,0,3,10.8505,76.2711,0
03-03-2020,Rajasthan,0,0,0,27.0238,74.2179,0
03-03-2020,Telengana,1,0,0,18.1124,79.0193,0
04-03-2020,Delhi,1,0,0,28.7041,77.1025,0
04-03-2020,Haryana,0,14,0,29.0588,76.0856,0
04-03-2020,Kerala,3,0,3,10.8505,76.2711,0
04-03-2020,Rajasthan,1,0,0,27.0238,74.2179,0
04-03-2020,Telengana,1,0,0,18.1124,79.0193,0
04-03-2020,Uttar Pradesh,6,0,0,26.8467,80.9462,0
05-03-2020,Delhi,2,0,0,28.7041,77.1025,0
05-03-2020,Haryana,0,14,0,29.0588,76.0856,0
05-03-2020,Kerala,3,0,3,10.8505,76.2711,0
05-03-2020,Rajasthan,1,0,0,27.0238,74.2179,0
05-03-2020,Telengana,1,0,0,18.1124,79.0193,0
